PFAM	UniProt	pseudohap
PF00620	25.2666666666667	45.6666666666667
PF00621	24.7333333333333	49
PF00622	17.4666666666667	43.3333333333333
PF00623	3.8	10.3333333333333
PF00625	8.4	24.6666666666667
PF00626	18.8	25.6666666666667
PF00627	13.9333333333333	18.3333333333333
PF00628	28	50.3333333333333
PF00629	27.1333333333333	117.666666666667
PF00630	39.2	111.666666666667
PF00631	3.46666666666667	10
PF00632	12.8666666666667	40
PF00633	1.4	1
PF00635	10.0666666666667	8.33333333333333
PF00636	5.13333333333333	16.6666666666667
PF00637	11.1333333333333	22
PF00638	6.13333333333333	9
PF00639	1.06666666666667	1.33333333333333
PF00640	8	18
PF00641	11.5333333333333	11
PF00642	26.7333333333333	36.3333333333333
PF00643	39	22.6666666666667
PF00644	8.6	95.6666666666667
PF00645	2.46666666666667	9.33333333333333
PF00646	86.7333333333333	52.6666666666667
PF00647	1.4	2.66666666666667
PF00648	9.66666666666667	24.3333333333333
PF00650	11.6666666666667	21
PF00651	84.6	73.6666666666667
PF00652	9.13333333333333	27.3333333333333
PF00653	6.53333333333333	138.666666666667
PF00654	5.53333333333333	5.66666666666667
PF00656	10.2666666666667	48.3333333333333
PF00657	16.6666666666667	21.3333333333333
PF00658	2.86666666666667	10.3333333333333
PF00659	3.4	4
PF00664	44.4	196.333333333333
PF00665	4.8	89.6666666666667
PF00667	4.2	10.3333333333333
PF00668	2.2	224
PF00670	2.06666666666667	10
PF00673	1.73333333333333	2.66666666666667
PF00675	7.4	14.6666666666667
PF00676	4.73333333333333	7
PF00679	6.73333333333333	11.6666666666667
PF00682	2.73333333333333	5.33333333333333
PF00684	4.13333333333333	9.66666666666667
PF00685	18.8666666666667	9.33333333333333
PF00686	3.2	4.33333333333333
PF00687	3.73333333333333	5.66666666666667
PF00689	10.4666666666667	36.6666666666667
PF00690	12.6	40.6666666666667
PF00692	1.46666666666667	1
PF00694	2.93333333333333	3.66666666666667
PF00696	3.33333333333333	4.33333333333333
PF00697	0.6	0.333333333333333
PF00698	7	32.3333333333333
PF00699	0.666666666666667	1.66666666666667
PF00701	1.33333333333333	1
PF00702	14.9333333333333	28.6666666666667
PF00703	1.53333333333333	3.66666666666667
PF00704	16.0666666666667	37
PF00705	1.2	3
PF00708	1.46666666666667	2
PF00709	1.2	3
PF00710	1.26666666666667	2
PF00717	3.2	3
PF00719	2.2	2
PF00722	9.2	9.66666666666667
PF00723	2	3.33333333333333
PF00724	3.93333333333333	4
PF00725	4	10.3333333333333
PF00728	3.86666666666667	22
PF00730	3.46666666666667	4
PF00731	0.933333333333333	3
PF00732	5.4	21
PF00733	2.93333333333333	5.33333333333333
PF00734	2.73333333333333	12
PF00735	4.8	11.6666666666667
PF00736	2	6.66666666666667
PF00743	12.0666666666667	34.6666666666667
PF00749	3.2	6.66666666666667
PF00750	1.8	4
PF00751	3.53333333333333	3
PF00752	6.13333333333333	7.66666666666667
PF00753	6	17.6666666666667
PF00754	34.6	23.3333333333333
PF00755	4.93333333333333	11.6666666666667
PF00756	1.06666666666667	6.66666666666667
PF00757	2.8	2
PF00759	5.8	2.33333333333333
PF00762	1.2	2.66666666666667
PF00763	2.4	3
PF00764	0.733333333333333	1.66666666666667
PF00766	1	1.66666666666667
PF00769	1.4	6
PF00773	4	2.66666666666667
PF00775	0.933333333333333	6.33333333333333
PF00778	2.26666666666667	6.66666666666667
PF00779	1.13333333333333	1.66666666666667
PF00780	5.4	9.33333333333333
PF00781	7.6	27
PF00782	19.8	70
PF00784	4.6	13
PF00786	6.6	6
PF00787	18	49.3333333333333
PF00788	9.8	23.6666666666667
PF00789	8.4	9.33333333333333
PF00790	5.06666666666667	7
PF00791	5	14.6666666666667
PF00792	2.6	4
PF00794	1.8	4
PF00795	5.8	9.33333333333333
PF00797	1.86666666666667	0.333333333333333
PF00801	3.46666666666667	1.66666666666667
PF00804	4	16.6666666666667
PF00805	2.53333333333333	64.3333333333333
PF00806	23.8	15
PF00808	9.46666666666667	11
PF00809	1	1.66666666666667
PF00810	2.13333333333333	2.33333333333333
PF00811	2.66666666666667	11.3333333333333
PF00812	1.66666666666667	5
PF00814	2.26666666666667	3
PF00817	3.2	3
PF00821	1.6	5
PF00822	5.33333333333333	8
PF00827	1.46666666666667	2.66666666666667
PF00828	2.46666666666667	4
PF00829	1.2	1
PF00831	1.46666666666667	4.33333333333333
PF00833	1.4	2.66666666666667
PF00834	1.33333333333333	1.33333333333333
PF00835	1	3.66666666666667
PF00836	2	2.33333333333333
PF00837	1.13333333333333	10.3333333333333
PF00838	1.53333333333333	2
PF00839	8.26666666666667	37.6666666666667
PF00842	0.2	1.66666666666667
PF00848	0.333333333333333	4.66666666666667
PF00849	3.6	3.33333333333333
PF00850	8.06666666666667	13.6666666666667
PF00852	9.13333333333333	31
PF00853	1.13333333333333	2.33333333333333
PF00854	14.5333333333333	15
PF00855	9.6	12.3333333333333
PF00856	28.0666666666667	51.3333333333333
PF00857	3.53333333333333	23
PF00858	29.8	36.6666666666667
PF00864	2.93333333333333	25.3333333333333
PF00867	6.26666666666667	6.33333333333333
PF00868	1.4	2.66666666666667
PF00875	2.6	1.33333333333333
PF00876	8.33333333333333	56
PF00877	0.133333333333333	0.333333333333333
PF00880	10.8666666666667	2.33333333333333
PF00882	0.266666666666667	2.66666666666667
PF00883	2.66666666666667	2.33333333333333
PF00884	7.8	7.66666666666667
PF00885	0.333333333333333	0.333333333333333
PF00886	1.06666666666667	1.33333333333333
PF00887	5	8
PF00888	8.46666666666667	34.6666666666667
PF00889	1.2	1
PF00890	2.8	1.66666666666667
PF00891	5.86666666666667	10
PF00892	19.2666666666667	27.3333333333333
PF00899	11.1333333333333	26.3333333333333
PF00900	1.53333333333333	2.66666666666667
PF00903	4.46666666666667	8.33333333333333
PF00907	7.33333333333333	15.3333333333333
PF00908	0.2	0.666666666666667
PF00909	6.26666666666667	28
PF00916	9.86666666666667	11.6666666666667
PF00917	23.6	8.33333333333333
PF00919	1.46666666666667	1.33333333333333
PF00920	0.466666666666667	1
PF00923	1.33333333333333	3
PF00924	1.53333333333333	2.66666666666667
PF00925	0.8	2.33333333333333
PF00926	0.6	0.333333333333333
PF00928	5.66666666666667	11.6666666666667
PF00929	7.8	19.3333333333333
PF00930	2.66666666666667	7.33333333333333
PF00932	2.8	11
PF00933	5.13333333333333	19
PF00935	1.06666666666667	2.66666666666667
PF00939	4.53333333333333	11.6666666666667
PF00940	1.2	2
PF00941	3.06666666666667	9.66666666666667
PF00953	1.2	1.66666666666667
PF00955	6.8	16
PF00956	4.93333333333333	7
PF00957	8.2	19.3333333333333
PF00958	1.26666666666667	3.33333333333333
PF00959	0.333333333333333	0.333333333333333
PF00962	4.73333333333333	15.3333333333333
PF00970	3.73333333333333	11.6666666666667
PF00975	1.46666666666667	8
PF00977	0.666666666666667	2
PF00984	1.53333333333333	4.33333333333333
PF00988	1.4	3.33333333333333
PF00989	6.06666666666667	10.3333333333333
PF00990	0.133333333333333	0.333333333333333
PF00992	2.2	5
PF00994	2.6	2
PF00995	6	11.3333333333333
PF00996	3.73333333333333	3.66666666666667
PF00999	11.4	21.6666666666667
PF01000	2.53333333333333	3
PF01007	3.4	7.66666666666667
PF01008	4.13333333333333	6
PF01012	1.86666666666667	3.33333333333333
PF01014	1.06666666666667	2.66666666666667
PF01015	1.2	2.33333333333333
PF01016	1.26666666666667	1.66666666666667
PF01018	2	2
PF01019	5.13333333333333	12.3333333333333
PF01020	1.4	3
PF01025	1.46666666666667	0.666666666666667
PF01026	3.46666666666667	8.66666666666667
PF01027	5.4	15.6666666666667
PF01028	1.2	2.33333333333333
PF01030	12.2666666666667	4
PF01031	5.13333333333333	19.6666666666667
PF01034	1.33333333333333	3.33333333333333
PF01035	0.8	1.66666666666667
PF01039	3.13333333333333	5.33333333333333
PF01040	3.6	5.33333333333333
PF01041	0.466666666666667	3.66666666666667
PF01042	2.4	7.66666666666667
PF01043	0.466666666666667	7
PF01044	4.73333333333333	11
PF01048	4.46666666666667	4.66666666666667
PF01049	2.53333333333333	4
PF01053	3.6	4
PF01055	8.13333333333333	39.3333333333333
PF01058	1.33333333333333	3.33333333333333
PF01061	18.5333333333333	35.3333333333333
PF01063	2.86666666666667	1.33333333333333
PF01064	2.2	2
PF01066	4.93333333333333	12.3333333333333
PF01067	6.26666666666667	11.3333333333333
PF01068	3.06666666666667	6.66666666666667
PF01070	3	19.3333333333333
PF01071	1	2.66666666666667
PF01073	3.46666666666667	1.66666666666667
PF01074	4.13333333333333	18.3333333333333
PF01079	2.2	44.3333333333333
PF01080	1.46666666666667	4.66666666666667
PF01082	5.66666666666667	25
PF01084	2	3
PF01086	1.4	4
PF01087	0.866666666666667	1.66666666666667
PF01088	3.46666666666667	3.66666666666667
PF01090	1.33333333333333	1.33333333333333
PF01092	1.2	2
PF01094	39.9333333333333	77.6666666666667
PF01096	4.6	8.66666666666667
PF01097	0.2	0.333333333333333
PF01102	0.133333333333333	0.333333333333333
PF01103	1.8	1
PF01105	7.06666666666667	13.6666666666667
PF01106	2	1.33333333333333
PF01111	1.53333333333333	5.33333333333333
PF01112	4.06666666666667	3.66666666666667
PF01115	0.933333333333333	2
PF01116	0.466666666666667	2
PF01118	0.933333333333333	0.333333333333333
PF01119	2.66666666666667	1.66666666666667
PF01120	2.4	17
PF01121	1.46666666666667	2
PF01124	2.73333333333333	15.6666666666667
PF01125	1.26666666666667	2.33333333333333
PF01127	1.13333333333333	0.666666666666667
PF01129	0.4	458.666666666667
PF01130	3.2	11.6666666666667
PF01131	2.33333333333333	4.33333333333333
PF01133	1.13333333333333	2
PF01134	1	1.33333333333333
PF01135	1.93333333333333	5
PF01137	1.86666666666667	4
PF01138	7.33333333333333	10.6666666666667
PF01139	0.666666666666667	4.33333333333333
PF01142	1.4	1
PF01144	2.06666666666667	2
PF01145	11.6	45
PF01146	1.53333333333333	2
PF01148	1.6	2
PF01149	0.466666666666667	1
PF01150	6.06666666666667	10.3333333333333
PF01151	6.93333333333333	18
PF01153	1.8	3.33333333333333
PF01154	1.46666666666667	2.33333333333333
PF01156	2.73333333333333	16
PF01157	1.13333333333333	1.66666666666667
PF01158	1.26666666666667	2.66666666666667
PF01159	1.26666666666667	2
PF01161	5.46666666666667	6
PF01163	2.66666666666667	5
PF01165	1.06666666666667	1
PF01166	1	2.33333333333333
PF01167	3.26666666666667	10
PF01168	1.93333333333333	5.33333333333333
PF01169	3.4	4.66666666666667
PF01170	1.6	1.33333333333333
PF01171	2.13333333333333	2.66666666666667
PF01172	1.13333333333333	1
PF01175	0.533333333333333	1.33333333333333
PF01176	2.46666666666667	4.33333333333333
PF01177	0.266666666666667	5.66666666666667
PF01179	2.86666666666667	6
PF01180	1.86666666666667	3.66666666666667
PF01182	2.6	4
PF01183	0.6	1.33333333333333
PF01184	0.4	7.66666666666667
PF01185	0.866666666666667	1.33333333333333
PF01186	1.26666666666667	1
PF01187	2.06666666666667	1.66666666666667
PF01189	5.93333333333333	7.33333333333333
PF01191	1.53333333333333	1.66666666666667
PF01192	1.26666666666667	1
PF01193	2.4	3
PF01194	1.2	0.333333333333333
PF01196	1.26666666666667	1
PF01198	1.26666666666667	3.33333333333333
PF01199	1.4	2.33333333333333
PF01200	1.26666666666667	2
PF01201	2.13333333333333	5.33333333333333
PF01202	1.86666666666667	2.33333333333333
PF01204	2.26666666666667	5
PF01205	1.33333333333333	1.33333333333333
PF01207	4.2	2.33333333333333
PF01208	1.4	3
PF01209	1.2	1.33333333333333
PF01210	2.2	4
PF01212	1.26666666666667	3.66666666666667
PF01213	1.33333333333333	3.66666666666667
PF01214	2.13333333333333	2
PF01215	1.13333333333333	2.33333333333333
PF01217	9.53333333333333	19.3333333333333
PF01218	1.06666666666667	1
PF01221	6.66666666666667	11
PF01222	2	11.6666666666667
PF01223	3.8	2.66666666666667
PF01226	0.0666666666666667	3.33333333333333
PF01227	1.33333333333333	3.33333333333333
PF01229	0.4	1.66666666666667
PF01230	3.26666666666667	3.66666666666667
PF01231	1.26666666666667	0.333333333333333
PF01232	0.0666666666666667	2.66666666666667
PF01233	1.2	3.66666666666667
PF01234	1.93333333333333	2
PF01237	7.2	13.6666666666667
PF01238	1.4	1
PF01239	10.2	9.66666666666667
PF01242	0.666666666666667	1.66666666666667
PF01243	1.66666666666667	1.33333333333333
PF01244	1.6	4.66666666666667
PF01245	1.33333333333333	2
PF01246	2.26666666666667	4.66666666666667
PF01247	1.53333333333333	2
PF01248	7.73333333333333	12.3333333333333
PF01249	1.06666666666667	3
PF01250	1.06666666666667	0.666666666666667
PF01251	1.4	2
PF01253	3.46666666666667	4.66666666666667
PF01255	2.2	1.66666666666667
PF01256	1	1.33333333333333
PF01257	0.933333333333333	1.33333333333333
PF01259	0.8	2.66666666666667
PF01261	1.26666666666667	4.66666666666667
PF01262	0.933333333333333	3
PF01263	3.53333333333333	3.33333333333333
PF01265	1	1
PF01266	9.4	33
PF01267	1.13333333333333	2.33333333333333
PF01268	1.26666666666667	1.66666666666667
PF01269	1.4	2
PF01274	0.533333333333333	3
PF01275	1.06666666666667	5.66666666666667
PF01276	0.0666666666666667	1
PF01280	1.53333333333333	2
PF01281	1	1.33333333333333
PF01282	1.26666666666667	2
PF01283	1.2	1.66666666666667
PF01284	5.86666666666667	6.33333333333333
PF01285	1.46666666666667	4.33333333333333
PF01286	0.666666666666667	1.66666666666667
PF01287	1.93333333333333	6
PF01288	0.733333333333333	0.666666666666667
PF01294	1.26666666666667	2.33333333333333
PF01300	1.53333333333333	3
PF01301	4.6	10.3333333333333
PF01302	7.8	26
PF01315	3.2	9
PF01321	2.26666666666667	6.33333333333333
PF01323	1.06666666666667	3.66666666666667
